 ,Area,Mean,Min,Max,Angle,Length
893,3.433,1276.655,1162.666,1383.792,+AC0-86.82,7.592
894,3.814,1287.068,1215.109,1374.422,21.251,8.299
895,3.051,1267.828,1173.667,1344.579,+AC0-86.186,6.71
896,3.051,1288.037,1197.334,1373.704,3.576,6.703
897,3.051,1239.504,1013.875,1400.012,+AC0-104.931,6.674
898,4.005,1222.35,1094,1357.375,2.862,8.626
899,3.433,1231.696,1097.25,1429.432,+AC0-106.39,7.634
900,4.005,1302.716,1130.5,1441.523,0,8.522
901,4.959,1008.005,923.334,1081.464,+AC0-87.797,11.087
902,4.005,1030.215,902.332,1113.342,0,8.881
903,5.34,1322.142,1181.333,1433.728,+AC0-66.251,11.736
904,4.577,1344.787,1234.555,1423.273,30.964,9.937
905,5.912,1336.475,1071.945,1477.688,+AC0-54.689,12.99
906,5.149,1362.286,1048.5,1483.677,+AC0-131.82,11.288
907,4.196,1214.006,1053,1320.63,2.862,9.026
908,2.67,1203.935,1096.111,1330.099,+AC0-85.601,5.562
909,7.438,1043.624,903.5,1144.289,+AC0-52.524,16.377
910,3.814,1018.861,862,1121.252,+AC0-145.491,8.479
911,5.149,984.826,774,1065.596,+AC0-81.254,11.457
912,4.386,991.689,827,1082.182,+AC0-169.695,9.765
913,4.386,818.576,679.334,907.75,+AC0-123.69,9.49
914,4.959,825.279,715.015,900.927,+AC0-26.565,10.875
915,4.196,753.849,639.326,852.432,+AC0-116.565,8.984
916,4.768,759.996,648.222,838.068,+AC0-27.646,10.353
917,3.624,725.864,604.333,823.336,+AC0-105.524,7.944
918,4.005,735.803,616.444,832.107,+AC0-11.31,8.795
919,5.531,821.73,694,893.296,+AC0-106.504,12.298
920,6.294,827.297,655.139,984.409,+AC0-32.196,14.119
921,2.289,1035.69,860.5,1112.74,+AC0-106.699,4.592
922,2.098,1034.563,970,1098,+AC0-23.962,4.301
923,2.861,1077.504,951.987,1193.143,+AC0-68.962,6.164
924,2.098,1066.952,864.75,1188.18,+AC0-150.945,4.492
